"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Phanerodon vacca","(Girard, 1855)","","pile perch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Cichliformes","","","Embiotocidae","","","Phanerodon","vacca",,"",,"native","SNR",,"1973-09-20","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,98,"confirmed","observed","reported as Damalichthys vacca",1316654,"FIS"
"Phidolopora pacifica","(Robertson, 1908)","","lattice-work bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Celleporoidea","Phidoloporidae","","","Phidolopora","pacifica",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,26,"confirmed","observed","",51796,"LOP"
"Philine auriformis","","","","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Philinidae","Philininae","","Philine","auriformis",,"",,"","",,"2018-03-11","","iNaturalist","",,"2018-03-11","","iNaturalist","",,1,"new 2018","observed","Notable report",49854,"MOL"
"Phoca vitulina richardii","Linnaeus, 1758","Gray, 1864","Pacific harbor seal","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Carnivora","","Phocoidea","Phocidae","","","Phoca","vitulina",,"richardii",,"native","S5 (2006)",,"1995-02-24","Charlie Gibbs","PMLS","",,"2023-09-23","","iNaturalist","",,134,"confirmed","observed","",117766,"MAM"
"Phocoena phocoena","(Linnaeus, 1758)","","harbour porpoise","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","Delphinoidea","Phocoenidae","","","Phocoena","phocoena",,"",,"native","S3 (2006)",,"2007-10-04","","BCCSN","1439",,"2023-07-16","","iNaturalist","",,43,"confirmed","observed","",41440,"MAM"
"Phocoenoides dalli","(True, 1885)","","Dall’s porpoise","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","Delphinoidea","Phocoenidae","","","Phocoenoides","dalli",,"",,"native","S4S5 (2006)",,"2004-04-07","","BCCSN","35193",,"2022-03-27","","iNaturalist","",,10,"confirmed","observed","",41446,"MAM"
"Pholis clemensi","Rosenblatt, 1964","","longfin gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Pholidae","Pholinae","","Pholis","clemensi",,"",,"native","SNR",,"1985-08-02","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,6,"confirmed","observed","",67405,"FIS"
"Pholis laeta","(Cope, 1873)","","crescent gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Pholidae","Pholinae","","Pholis","laeta",,"",,"native","SNR",,"1982-06-08","Genereux, K.D.","CMN","CMNFI 1985-0087.6",,"2023-06-19","","iNaturalist","",,32,"confirmed","observed","",67362,"FIS"
"Pholis ornata","(Girard, 1854)","","saddleback gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Pholidae","Pholinae","","Pholis","ornata",,"",,"native","SNR",,"2022-05-16","","iNaturalist","",,"2023-06-24","","iNaturalist","",,3,"new 2022","observed","",62605,"FIS"
"Phoronis ijimai","Oka, 1897","","white colonial Phoronid","Animalia","Phoronida","","","","","","","","","Phoronidae","","","Phoronis","ijimai",,"",,"native","unlisted",,"2008-04-27","Andy Lamb","PMLS","",,"2018-03-31","","iNaturalist","",,3,"confirmed","observed","",372139,"WOR"
"Photis brevipes","Shoemaker, 1942","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Photoidea","Photidae","","","Photis","brevipes",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-002",,"1961-06-22","","RBCM","976-01146-002",,1,"reported","unobserved","",295828,"ART"
"Phyllaplysia taylori","Dall, 1900","","zebra leafslug","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Aplysiida","","Aplysioidea","Aplysiidae","","","Phyllaplysia","taylori",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2015-05-21","","iNaturalist","",,7,"confirmed","observed","",49864,"MOL"
"Phyllochaetopterus prolifica","Potts, 1914","","prolific three-section tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","","","","Chaetopteridae","","","Phyllochaetopterus","prolifica",,"",,"native","unlisted",,"2006-11-11","Andy Lamb","PMLS","",,"2017-06-30","Andy Lamb","PMLS","",,9,"confirmed","unobserved","",467241,"WOR"
"Phyllochaetopterus sp.","","","three-section tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","","","","Chaetopteridae","","","Phyllochaetopterus","",,"",,"","",,"2007-10-14","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,5,"confirmed","unobserved","misspelled Phyllochaeopterus claparedii",374226,"WOR"
"Phyllolithodes papillosus","J.F. Brandt, 1848","","heart crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Phyllolithodes","papillosus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-06-17","","iNaturalist","",,47,"confirmed","observed","",424896,"ART"
"Phytichthys chirus","(Jordan & Gilbert, 1880)","","ribbon prickleback","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Stichaeidae","Xiphisterinae","","Phytichthys","chirus",,"",,"native","SNR",,"1960-12-21","McAllister, Donald E. | Yesaki, M.O.","CMN","CMNFI 1960-0499C.2",,"1960-12-21","McAllister, Donald E. | Yesaki, M.O.","CMN","CMNFI 1960-0499C.2",,1,"reported","unobserved","",228101,"FIS"
"Pisaster brevispinus","(Stimpson, 1857)","","giant pink star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","","","Pisaster","brevispinus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,159,"confirmed","observed","",49539,"ECH"
"Pisaster ochraceus","(Brandt, 1835)","","ochre star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","","","Pisaster","ochraceus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,380,"confirmed","observed","",49699,"ECH"
"Pista elongata","Moore, 1909","","basket-top spaghetti worm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Terebellida","Terebelliformia","","Terebellidae","Terebellinae","","Pista","elongata",,"",,"native","unlisted",,"1993-08-16","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,59,"confirmed","unobserved","",338339,"WOR"
"Placetron wosnessenskii","Schalfeew, 1892","","scaled crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","","","Placetron","wosnessenskii",,"",,"native","unlisted",,"1999-07-31","Charlie Gibbs","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,7,"confirmed","unobserved","",459657,"ART"
"Placiphorella rufa","Berry, 1917","","red veiled-chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Placiphorella","rufa",,"",,"native","unlisted",,"2006-11-18","Andy Lamb","PMLS","",,"2006-11-18","Andy Lamb","PMLS","",,1,"reported","unobserved","",547332,"MOL"
"Placiphorella velata","(M.S. Carpenter, Dall, 1879)","","veiled-chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Placiphorella","velata",,"",,"native","unlisted",,"2011-11-18","Andy Lamb","PMLS","",,"2011-11-18","Andy Lamb","PMLS","",,1,"reported","unobserved","",55354,"MOL"
"Planorbella trivolvis","(Say, 1817)","","marsh ramshorn","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Hygrophila","","","Lymnaeoidea","Planorbidae","Planorbinae","Helisomatini","Planorbella","trivolvis",,"",,"native","SU (2015)",,"2016-08-14","","iNaturalist","",,"2016-08-14","","iNaturalist","",,1,"new 2016","observed","",150985,"MOL"
"Platichthys stellatus","(Pallas, 1787)","","starry flounder","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Carangiformes","Pleuronectoidei","","Pleuronectidae","Pleuronectinae","","Platichthys","stellatus",,"",,"native","SNR",,"1982-06-08","Ellis, J.M.","CMN","CMNFI 1985-0088.2",,"2021-03-27","","iNaturalist","",,3,"confirmed","observed","",83170,"FIS"
"Platynereis bicanaliculata","(Baird, 1863)","","algae-dwelling sea-nymph","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Nereidiformia","","Nereididae","Nereidinae","","Platynereis","bicanaliculata",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-063",,"2022-02-24","","iNaturalist","",,6,"confirmed","observed","",129876,"WOR"
"Pleraplysilla sp.","","","slippery white sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dictyoceratida","","","Dysideidae","","","Pleraplysilla","",,"",,"","",,"2006-09-29","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,2,"confirmed","unobserved","undescribed species",623055,"POR"
"Pleurobrachia bachei","A. Agassiz, 1860","","sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Cydippida","","","Pleurobrachiidae","","","Pleurobrachia","bachei",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2023-06-27","","iNaturalist","",,45,"confirmed","observed","",117705,"CNI"
"Pleuronichthys coenosus","Girard, 1854","","C-O sole","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Carangiformes","Pleuronectoidei","","Pleuronectidae","Pleuronichthyinae","","Pleuronichthys","coenosus",,"",,"native","SNR",,"1996-02-24","Charlie Gibbs","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,5,"confirmed","observed","",228393,"FIS"
"Plumularia setacea","(Linnaeus, 1758)","","glassy plume hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Plumularioidea","Plumulariidae","","","Plumularia","setacea",,"",,"native","unlisted",,"1913-06-06","","RBCM","976-00936-001",,"2019-03-11","Andy Lamb","PMLS","",,38,"confirmed","unobserved","",209141,"CNI"
"Plumularia sp.","","","delicate plume hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Plumularioidea","Plumulariidae","","","Plumularia","",,"",,"","",,"1985-08-02","Andy Lamb","PMLS","",,"2017-03-18","Andy Lamb","PMLS","",,28,"confirmed","unobserved","",60609,"CNI"
"Podocerus cristatus","Thomson, 1879","","nudibranch-mimicking amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Podoceridae","","","Podocerus","cristatus",,"",,"native","unlisted",,"2022-02-24","","iNaturalist","",,"2022-02-24","","iNaturalist","",,1,"new 2022","observed","",60636,"ART"
"Pododesmus macrochisma","(Deshayes, 1839)","","green false-jingle","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Pectinida","","Anomioidea","Anomiidae","","","Pododesmus","macrochisma",,"",,"native","unlisted",,"1973-09-20","Andy Lamb","PMLS","",,"2023-06-24","","iNaturalist","",,141,"confirmed","observed","",68652,"MOL"
"Podothecus accipenserinus","(Tilesius, 1813)","","sturgeon poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Agonidae","Agoninae","","Podothecus","accipenserinus",,"",,"native","SNR",,"1995-02-23","Charlie Gibbs","PMLS","",,"2023-09-03","","iNaturalist","",,2,"confirmed","observed","",228455,"FIS"
"Polymastia pachymastia","Laubenfels, 1932","","aggregated nipple sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Polymastiida","","","Polymastiidae","","","Polymastia","pachymastia",,"",,"native","unlisted",,"1994-10-07","Andy Lamb","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,16,"confirmed","observed","",117717,"POR"
"Polyorchis penicillatus","(Eschscholtz, 1829)","","red-eye medusa","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Capitata","","Corynidae","","","Polyorchis","penicillatus",,"",,"native","unlisted",,"2006-06-11","","iNaturalist","",,"2022-09-17","","iNaturalist","",,9,"confirmed","observed","",51640,"CNI"
"Porichthys notatus","Girard, 1854","","plainfin midshipman","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Batrachoidiformes","","","Batrachoididae","Porichthyinae","","Porichthys","notatus",,"",,"native","SNR",,"1995-02-23","Charlie Gibbs","PMLS","",,"2023-06-04","","iNaturalist","",,15,"confirmed","observed","",60021,"FIS"
"Primavelans insculpta","(Hincks, 1883)","","fluted bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Schizoporelloidea","Pacificincolidae","","","Primavelans","insculpta",,"",,"native","unlisted",,"1995-02-26","Charlie Gibbs","PMLS","",,"2019-05-04","Isabelle Cote","PMLS","",,6,"confirmed","observed","reported as Hippodiplosia insculpta",429861,"LOP"
"Protula pacifica","Pixell, 1912","","white-crown calcareous tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Serpulidae","","","Protula","pacifica",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,64,"confirmed","unobserved","",538108,"WOR"
"Pseudochitinopoma occidentalis","(Bush, 1905)","","western calcareous tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Serpulidae","","","Pseudochitinopoma","occidentalis",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-068",,"2009-02-14","Andy Lamb","PMLS","",,22,"confirmed","unobserved","",538107,"WOR"
"Pseudopotamilla occelata","Moore, 1905","","feather-duster","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Sabellidae","Sabellinae","","Pseudopotamilla","occelata",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-062",,"1986-09-30","","RBCM","986-00197-062",,2,"reported","unobserved","",485471,"WOR"
"Psolidium bidiscum","Lambert, 1996","","pale creeping pedal sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Psolidae","","","Psolidium","bidiscum",,"",,"native","unlisted",,"1996-09-28","Charlie Gibbs","PMLS","",,"1996-09-28","Charlie Gibbs","PMLS","",,1,"reported","unobserved","",873892,"ECH"
"Psolus chitonoides","Clark, 1901","","creeping pedal sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Psolidae","","","Psolus","chitonoides",,"",,"native","unlisted",,"1973-09-20","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,145,"confirmed","observed","",473064,"ECH"
"Psolus squamatus","(O.F. Müller, 1776)","","white creeping pedal sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Psolidae","","","Psolus","squamatus",,"",,"native","unlisted",,"2008-10-09","Andy Lamb","PMLS","",,"2011-11-25","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",293149,"ECH"
"Psychrolutes sigalutes","(Jordan & Starks, 1895)","","soft sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Psychrolutinae","","Psychrolutes","sigalutes",,"",,"native","SNR",,"2011-09-22","","iNaturalist","",,"2011-09-22","","iNaturalist","",,1,"reported","observed","",229295,"FIS"
"Pteraster tesselatus","Ives, 1888","","slime star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","","Velatida","","","Pterasteridae","","","Pteraster","tesselatus",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2023-07-09","","iNaturalist","",,89,"confirmed","observed","",194701,"ECH"
"Ptilichthys goodei","Bean, 1881","","quillfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Ptilichthyidae","","","Ptilichthys","goodei",,"",,"native","SNR",,"2006-06-23","Andy Lamb","PMLS","",,"2006-06-23","Andy Lamb","PMLS","",,1,"reported","unobserved","",229394,"FIS"
"Ptilosarcus gurneyi","(Gray, 1860)","","orange sea pen","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Scleralcyonacea","","Pennatuloidea","Pennatulidae","","","Ptilosarcus","gurneyi",,"",,"native","unlisted",,"1923-06-18","","RBCM","976-01146-015",,"2023-09-09","","iNaturalist","",,149,"confirmed","observed","",448320,"CNI"
"Pugettia gracilis","Dana, 1851","","graceful kelp crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Majoidea","Epialtidae","Epialtinae","","Pugettia","gracilis",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-07-30","","iNaturalist","",,58,"confirmed","observed","",130344,"ART"
"Pugettia producta","(Randall, 1840)","","northern kelp crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Majoidea","Epialtidae","Epialtinae","","Pugettia","producta",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,110,"confirmed","observed","",49723,"ART"
"Puncturella cucullata","(Gould, 1846)","","hooded puncturella","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Lepetellida","","Fissurelloidea","Fissurellidae","Zeidorinae","","Puncturella","cucullata",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-038",,"2019-03-17","Andy Lamb","PMLS","",,23,"confirmed","unobserved","",904312,"MOL"
"Pycnoclavella stanleyi","Berrill & Abbott, 1949","","yellow social ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Clavelinidae","","","Pycnoclavella","stanleyi",,"",,"native","unlisted",,"1993-08-16","Andy Lamb","PMLS","",,"2009-10-10","Andy Lamb","PMLS","",,8,"confirmed","observed","",424274,"TUN"
"Pycnopodia helianthoides","(Brandt, 1835)","","sunflower star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","Pycnopodiinae","","Pycnopodia","helianthoides",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-06-14","","iNaturalist","",,196,"confirmed","observed","",47673,"ECH"
"Pyura haustor","(Stimpson, 1864)","","warty tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Pyuridae","","","Pyura","haustor",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,46,"confirmed","unobserved","",333504,"TUN"
"Pyura mirabilis","(Drasche, 1884)","","Aladdin's lamp tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Pyuridae","","","Pyura","mirabilis",,"",,"native","unlisted",,"2013-10-23","Andy Lamb","PMLS","",,"2013-10-23","Andy Lamb","PMLS","",,1,"reported","unobserved","",552416,"TUN"
"Rhabdocalyptus dawsoni","(Lambe, 1893)","","boot sponge","Animalia","Porifera","","","Hexactinellida","Hexasterophora","","Lyssacinosida","","","Rossellidae","","","Rhabdocalyptus","dawsoni",,"",,"native","unlisted",,"2007-10-23","","iNaturalist","",,"2011-11-03","","iNaturalist","",,35,"confirmed","observed","",751673,"POR"
"Rhabdus rectius","(Carpenter, 1864)","","straight tuskshell","Animalia","Mollusca","","","Scaphopoda","","","Dentaliida","","","Rhabdidae","","","Rhabdus","rectius",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03309",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03309",,2,"reported","unobserved","",957345,"MOL"
"Rhamphocottus richardsonii","Günther, 1874","","grunt sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Rhamphocottidae","","","Rhamphocottus","richardsonii",,"",,"native","SNR",,"1981-05-31","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,48,"confirmed","observed","",51881,"FIS"
"Rhinogobiops nicholsii","(Bean, 1882)","","blackeye goby","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gobiiformes","","","Gobiidae","Gobiinae","","Rhinogobiops","nicholsii",,"",,"native","SNR",,"1968-08-02","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,260,"confirmed","observed","",132521,"FIS"
"Rhinolithodes wosnessenskii","J.F. Brandt, 1848","","rhinoceros crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Rhinolithodes","wosnessenskii",,"",,"native","unlisted",,"1994-09-10","Andy Lamb","PMLS","",,"2017-03-18","Andy Lamb","PMLS","",,46,"confirmed","unobserved","",459660,"ART"
"Rhizocaulus verticillatus","(Linnaeus, 1758)","","horse-tail hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Campanulariidae","","","Rhizocaulus","verticillatus",,"",,"native","unlisted",,"2008-03-22","Andy Lamb","PMLS","",,"2011-11-18","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",127158,"CNI"
"Rictaxis punctocaelatus","(Carpenter, 1864)","","bubble snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","","","Acteonoidea","Acteonidae","","","Rictaxis","punctocaelatus",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03322",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03322",,1,"reported","unobserved","",49779,"MOL"
"Ronquilus jordani","(Gilbert, 1889)","","northern ronquil","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Bathymasteridae","","","Ronquilus","jordani",,"",,"native","SNR",,"1971-08-21","Andy Lamb","PMLS","",,"2019-05-04","Larry Taylor","PMLS","",,26,"confirmed","unobserved","",230312,"FIS"
"Rossia pacifica","Berry, 1911","","stubby squid","Animalia","Mollusca","","","Cephalopoda","Coleoidea","Decapodiformes","Sepiida","Sepiolina","Sepioloidea","Sepiolidae","Rossiinae","","Rossia","pacifica",,"",,"native","unlisted",,"1994-02-27","Charlie Gibbs","PMLS","",,"2008-09-19","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",151358,"MOL"
"Rostanga pulchra","MacFarland, 1905","","red sponge nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Rostanga","pulchra",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-05-27","","iNaturalist","",,11,"confirmed","observed","",47473,"MOL"
"Ruditapes philippinarum","(Adams & Reeve, 1850)","","Japanese littleneck","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","Tapetinae","","Ruditapes","philippinarum",,"",,"non-native","unlisted",,"2016-08-21","","iNaturalist","",,"2023-05-28","","iNaturalist","",,17,"new 2016","observed","",343269,"MOL"
"Sagittoidea","","","arrow worm","Animalia","Chaetognatha","","","Sagittoidea","","","","","","","","","","",,"",,"","",,"1995-02-23","Charlie Gibbs","PMLS","",,"2009-04-04","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",246116,"WOR"
"Sagmatias obliquidens","(Gill, 1865)","","Pacific white-sided dolphin","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","Delphinoidea","Delphinidae","Lissodelphininae","","Sagmatias","obliquidens",,"",,"native","S4S5 (2006)",,"2013-10-30","","BCCSN","85702",,"2015-02-07","","BCCSN","96090",,2,"confirmed","unobserved","",1368491,"MAM"
"Salmacina tribranchiata","(Moore, 1923)","","three-branch calcareous tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Serpulidae","","","Salmacina","tribranchiata",,"",,"native","unlisted",,"2006-11-18","Andy Lamb","PMLS","",,"2006-11-18","Andy Lamb","PMLS","",,1,"reported","unobserved","",194972,"WOR"
"Sarsia sp.","","","thimble jellyfishes","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Capitata","","Corynidae","","","Sarsia","",,"",,"","",,"2009-04-13","Andy Lamb","PMLS","",,"2009-04-13","Andy Lamb","PMLS","",,1,"reported","unobserved","",51653,"CNI"
"Sarsia tubulosa","(M. Sars, 1835)","","clapper hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Capitata","","Corynidae","","","Sarsia","tubulosa",,"",,"native","unlisted",,"1913-06-06","","RBCM","976-00141-001",,"2009-04-13","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",448319,"CNI"
"Saxidomus gigantea","(Deshayes, 1839)","","Washington butter clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","Callocardiinae","","Saxidomus","gigantea",,"",,"native","unlisted",,"2006-06-23","Andy Lamb","PMLS","",,"2023-06-17","","iNaturalist","",,30,"confirmed","observed","",130233,"MOL"
"Scabrotrophon maltzani","(Kobelt, 1878)","","sandpaper trophon","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Trophoninae","","Scabrotrophon","maltzani",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2019-03-11","Andy Lamb","PMLS","",,19,"confirmed","unobserved","",500269,"MOL"
"Schizobranchia insignis","Bush, 1905","","split-branch feather-duster","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Sabellidae","Sabellinae","","Schizobranchia","insignis",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-04-22","","iNaturalist","",,16,"confirmed","observed","",339561,"WOR"
"Schizoporella japonica","Ortmann, 1890","","orange ripple bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Schizoporelloidea","Schizoporellidae","","","Schizoporella","japonica",,"",,"non-native","unlisted",,"1973-09-20","Andy Lamb","PMLS","",,"2019-05-04","","iNaturalist","",,60,"confirmed","observed","misspelled Schizoporella japonicus",519486,"LOP"
"Schuchertinia allmanii","(Bonnevie, 1898)","","snail fur hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Hydractiniidae","","","Schuchertinia","allmanii",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2006-12-02","Charlie Gibbs","PMLS","",,3,"confirmed","unobserved","reported as Hydractinia cf. aggregata",1118982,"CNI"
